"ait-table-cell","ait-table-cell 2","ait-table-cell 3","ait-local-number","ait-space-item","ait-space-item 2","ait-local-number 2","ait-space-item 3","ait-space-item 4","ait-local-number 3","ait-space-item 5","ait-space-item 6","ait-local-number 4","ait-space-item 7","ait-space-item 8","ait-local-number 5","ait-space-item 9","ait-space-item 10","ait-space-item 11","ait-space-item 12","ait-space-item 15","ait-space-item 16"
"leg warmer","leg warmer","N","14,942.00","较前30日","10.45%","38,664.00","较前30日","28.04%","34.25%","较前30日","-11.25%","1.37%","较前30日","-12.71%","1.99","较前30日","-6.44%","","","",""
"game","game","Y","9,928.00","较前30日","3.26%","38,598.00","","","14.87%","较前30日","-10.92%","7.78","较前30日","-6.97%","0.24%","较前30日","-8.10%","较前30日","33.33%","",""
"camping kitchen","camping kitchen","N","4,504.00","较前30日","0.00%","38,512.00","较前30日","0.00%","24.02%","较前30日","0.00%","0.25%","较前30日","0.00%","84.26","","","","","较前30日","0.00%"
"pedalboard","pedalboard","N","6,618.00","较前30日","-1.65%","38,505.00","较前30日","-4.35%","34.10%","较前30日","-2.59%","0.22%","较前30日","-4.80%","37.75","较前30日","-4.25%","","","",""
"magura","magura","Y","10,058.00","较前30日","0.00%","38,454.00","较前30日","0.00%","37.36%","较前30日","0.00%","0.11%","较前30日","0.00%","23.07","","","","","较前30日","0.00%"
"рогатка","Slingshot","N","7,514.00","较前30日","0.00%","38,268.00","较前30日","0.00%","45.78%","较前30日","0.00%","0.32%","较前30日","0.00%","29.73","","","","","较前30日","0.00%"
"muñequeras gym","gym wristbands","N","10,827.00","较前30日","0.00%","38,257.00","较前30日","0.00%","32.92%","较前30日","0.00%","1.71%","较前30日","0.00%","14.35","","","","","较前30日","0.00%"
"boxe","Boxing","Y","7,560.00","较前30日","16.49%","38,241.00","较前30日","-11.43%","20.73%","较前30日","-4.49%","0.31%","较前30日","-0.62%","17.24","较前30日","-2.15%","","","",""
"hirisi carp fishing","hirisi carp fishing","N","3,875.00","较前30日","0.00%","38,195.00","较前30日","0.00%","22.50%","较前30日","0.00%","1.04%","较前30日","0.00%","91.41","","","","","较前30日","0.00%"
"멀티툴","Multitool","N","7,167.00","较前30日","0.00%","38,117.00","较前30日","0.00%","24.21%","较前30日","0.00%","0.22%","较前30日","0.00%","9.42","","","","","较前30日","0.00%"
"cnc","Cnc","Y","10,797.00","较前30日","11.18%","38,063.00","","","14.91%","较前30日","-14.45%","10.32","较前30日","-6.46%","0.04%","较前30日","-12.33%","较前30日","100.00%","",""
"헬멧","Helmet","N","9,378.00","较前30日","0.00%","38,055.00","较前30日","0.00%","15.56%","较前30日","0.00%","0.25%","较前30日","0.00%","2.91","","","","","较前30日","0.00%"
"tenda","tenda","Y","10,242.00","较前30日","2.22%","38,051.00","较前30日","1.97%","20.11%","较前30日","-8.09%","18.18","较前30日","0.80%","","","","","","",""
"ベイトリール","bait reel","N","5,651.00","较前30日","0.00%","38,020.00","较前30日","0.00%","36.13%","较前30日","0.00%","0.15%","较前30日","0.00%","25.08","","","","","较前30日","0.00%"
"디스크휠","Disk wheel","N","10,307.00","较前30日","5.53%","37,970.00","较前30日","1.18%","34.61%","较前30日","-7.35%","8.16","较前30日","1.82%","","","","","","",""
"brompton","brompton","Y","3,894.00","较前30日","0.00%","37,846.00","较前30日","0.00%","31.90%","较前30日","0.00%","0.38%","较前30日","0.00%","97.86","","","","","较前30日","0.00%"
"yoga mats","yoga mats","N","9,722.00","较前30日","2.79%","37,776.00","较前30日","1.64%","35.76%","较前30日","-0.93%","1.06%","较前30日","3.80%","17.17","较前30日","-1.74%","","","",""
"swimming pool","swimming pool","N","7,098.00","较前30日","0.00%","37,733.00","较前30日","0.00%","16.03%","较前30日","0.00%","0.02%","较前30日","0.00%","8.77","","","","","较前30日","0.00%"
"stanley cup","stanley cup","Y","37,733.00","","","19.95%","","","","较前30日","-20.68%","","","","1.17","较前30日","-12.31%","较前30日","73.98%","",""
"fishing lure","fishing lure","N","4,960.00","较前30日","1.12%","37,656.00","较前30日","-0.28%","28.08%","较前30日","-3.03%","1.49%","较前30日","-14.37%","75.74","较前30日","-4.16%","","","",""
"accesorios gym","Gym accessories","N","5,598.00","较前30日","0.00%","37,652.00","较前30日","0.00%","20.35%","较前30日","0.00%","0.49%","较前30日","0.00%","46.69","","","","","较前30日","0.00%"
"mahjong","Mahjong","N","10,215.00","较前30日","5.37%","37,602.00","较前30日","3.36%","27.68%","较前30日","-3.61%","0.21%","较前30日","10.53%","5.89","较前30日","9.38%","","","",""
"куртка женская","Women's jacket","N","58.67%","较前30日","14.90%","0.05%","","","1.06","较前30日","-13.67%","37,505.00","","","19,514.00","","","较前30日","45.56%","较前30日","0.00%"
"óculos de sol masculino","Sunglasses male","N","10,161.00","较前30日","0.00%","37,431.00","较前30日","0.00%","21.56%","较前30日","0.00%","0.39%","较前30日","0.00%","4.17","","","","","较前30日","0.00%"
"bieznia domowa","Home run","N","33.66%","","","0.86%","","","","较前30日","-7.53%","","","","4.87","","","较前30日","59.97%","较前30日","0.00%"
"rodilleras","Knee pads","N","10,292.00","较前30日","0.94%","37,140.00","较前30日","3.10%","26.22%","较前30日","-0.87%","1.14%","较前30日","1.08%","15.73","较前30日","-0.37%","","","",""
"resistance band","resistance band","N","10,487.00","较前30日","0.00%","37,005.00","较前30日","0.00%","35.84%","较前30日","0.00%","2.55%","较前30日","0.00%","15.47","","","","","较前30日","0.00%"
"midi","midi","Y","11,555.00","较前30日","3.97%","36,962.00","","","23.86%","较前30日","-17.42%","0.12%","较前30日","-2.82%","12.93","较前30日","-18.75%","","","较前30日","0.00%"
"toys","toys","Y","10.84%","较前30日","6.69%","0.78","","","0.10%","较前30日","-28.40%","36,896.00","较前30日","100.00%","20,503.00","","","较前30日","113.42%","",""
"солнцезащитные очки женские","Women's sunglasses","N","56.89%","较前30日","7.69%","0.84%","","","0.62","较前30日","-0.07%","36,575.00","","","24,224.00","较前30日","-18.90%","较前30日","67.11%","",""
"테이블","Table","N","9,855.00","较前30日","0.89%","36,513.00","较前30日","8.21%","13.57%","较前30日","-4.13%","3.50","","","","较前30日","-4.98%","","","",""
"sup board","sup board","N","10,108.00","较前30日","0.00%","36,366.00","较前30日","0.00%","46.54%","较前30日","0.00%","0.23%","较前30日","0.00%","23.43","","","","","较前30日","0.00%"
"laser surpuissant","overpowerful laser","N","14,991.00","较前30日","14.87%","36,350.00","较前30日","-10.00%","22.97%","较前30日","-18.99%","0.45%","较前30日","-1.92%","4.54","较前30日","-16.21%","","","",""
"ryobi","ryobi","Y","15,030.00","较前30日","6.91%","36,195.00","较前30日","9.92%","15.42%","较前30日","-6.66%","0.14%","较前30日","7.69%","3.40","较前30日","-7.78%","","","",""
"mangas para brazo","Sleeves for arm","N","10,751.00","较前30日","3.69%","36,164.00","较前30日","6.32%","31.24%","较前30日","-4.08%","1.41%","较前30日","5.33%","9.15","较前30日","-5.60%","","","",""
"gorra","Cap","N","14,312.00","较前30日","6.61%","36,121.00","较前30日","23.63%","15.63%","","","1.94","较前30日","2.22%","0.44%","较前30日","19.64%","较前30日","83.33%","",""
"garrafa de água","Water bottle","N","10,016.00","较前30日","0.00%","36,102.00","较前30日","0.00%","16.26%","较前30日","0.00%","0.29%","较前30日","0.00%","3.01","","","","","较前30日","0.00%"
"окуляри","eyepieces","N","12,382.00","较前30日","0.00%","36,091.00","较前30日","0.00%","19.75%","较前30日","0.00%","0.53%","较前30日","0.00%","2.47","","","","","较前30日","0.00%"
"dirt bike","dirt bike","N","19.79%","较前30日","12.38%","4.77","较前30日","14.74%","0.09%","","","35,998.00","较前30日","80.00%","12,505.00","","","较前30日","32.22%","",""
"горнолыжный костюм женский","Women's ski suit","N","65.07%","","","0.02%","","","","较前30日","-1.71%","","","","9.06","","","较前30日","43.87%","较前30日","0.00%"
"vibration plate","vibration plate","N","9,985.00","较前30日","8.87%","35,684.00","较前30日","-26.26%","31.99%","较前30日","-26.84%","0.73%","较前30日","-3.62%","15.08","较前30日","-25.37%","","","",""
"dreamcast","dreamcast","Y","11,157.00","较前30日","12.42%","35,405.00","较前30日","19.19%","28.31%","","","3.27","较前30日","1.29%","","较前30日","9.35%","","","",""
"straps","straps","Y","12,597.00","较前30日","10.19%","35,351.00","较前30日","7.23%","29.00%","较前30日","-1.55%","1.90%","较前30日","2.98%","7.83","较前30日","-10.89%","","","",""
"fajas","Girdles","N","10,912.00","较前30日","0.00%","35,293.00","较前30日","0.00%","23.84%","较前30日","0.00%","0.40%","较前30日","0.00%","4.18","","","","","较前30日","0.00%"
"polainas","Gaiters","N","12,172.00","较前30日","5.59%","35,265.00","较前30日","4.27%","24.38%","较前30日","-4.80%","0.38%","较前30日","-12.35%","3.59","较前30日","-5.00%","","","",""
"weights","weights","N","9,836.00","较前30日","4.72%","35,192.00","较前30日","1.16%","24.64%","较前30日","-1.72%","18.16","","","0.24%","较前30日","-3.36%","较前30日","33.33%","",""
"shorts feminino","Women's shorts","N","16,117.00","较前30日","9.33%","35,122.00","较前30日","19.91%","16.93%","较前30日","4.83%","0.28%","较前30日","3.74%","0.63","较前30日","3.70%","","","",""
"surron","surron","N","14,097.00","较前30日","3.09%","34,816.00","较前30日","4.10%","16.33%","较前30日","-0.31%","2.86","较前30日","1.03%","0.15%","","","较前30日","400.00%","",""
"велосипед взрослый","Adult bike","N","10,437.00","较前30日","0.00%","34,394.00","较前30日","0.00%","56.49%","较前30日","0.00%","0.14%","较前30日","0.00%","11.15","","","","","较前30日","0.00%"
"lunettes de soleil luxe","luxury sunglasses","N","13,303.00","较前30日","0.00%","34,119.00","较前30日","0.00%","24.71%","较前30日","0.00%","0.60%","较前30日","0.00%","1.42","","","","","较前30日","0.00%"
"maxxis","maxxis","Y","12,846.00","较前30日","10.88%","34,069.00","较前30日","8.52%","47.15%","","","8.06","较前30日","4.96%","0.18%","较前30日","4.88%","较前30日","63.64%","",""
"크로스백","Cross bag","N","9,813.00","较前30日","0.00%","33,918.00","较前30日","0.00%","12.69%","较前30日","0.00%","0.10%","较前30日","0.00%","3.44","","","","","较前30日","0.00%"
"電動アシスト自転車","electric assist bicycle","N","10,173.00","较前30日","2.43%","33,806.00","","","25.30%","较前30日","-5.74%","0.01%","较前30日","-9.58%","7.25","较前30日","-9.04%","","","较前30日","0.00%"
"casquette","Cap","N","14,220.00","较前30日","23.31%","33,558.00","较前30日","19.47%","11.64%","较前30日","-2.02%","1.84","","","0.42%","较前30日","-10.76%","较前30日","35.48%","",""
"corrector de postura espalda","back posture corrector","N","9,855.00","较前30日","0.00%","33,477.00","较前30日","0.00%","33.92%","较前30日","0.00%","1.65%","较前30日","0.00%","7.27","","","","","较前30日","0.00%"
"ветровка","Windbreaker","N","16,597.00","较前30日","0.00%","33,171.00","较前30日","0.00%","41.56%","较前30日","0.00%","0.15%","较前30日","0.00%","2.80","","","","","较前30日","0.00%"
"torch","torch","Y","11,302.00","较前30日","14.45%","33,163.00","","","13.87%","较前30日","-17.95%","3.54","较前30日","-2.19%","0.62%","较前30日","-15.29%","较前30日","93.75%","",""
"odi grips","odi grips","N","10,957.00","较前30日","0.00%","33,039.00","较前30日","0.00%","34.81%","较前30日","0.00%","1.91%","较前30日","0.00%","10.70","","","","","较前30日","0.00%"
"glasses for man","glasses for man","N","10,479.00","较前30日","0.00%","32,888.00","较前30日","0.00%","18.30%","较前30日","0.00%","0.66%","较前30日","0.00%","5.66","","","","","较前30日","0.00%"
"спиннинг для рыбалки","Spinning rod for fishing","N","10,039.00","较前30日","0.00%","32,652.00","较前30日","0.00%","63.49%","较前30日","0.00%","0.22%","较前30日","0.00%","17.17","","","","","较前30日","0.00%"
"электромотоцикл","Electric motorcycle","N","12,229.00","较前30日","0.00%","32,231.00","较前30日","0.00%","57.22%","较前30日","0.00%","0.01%","较前30日","0.00%","3.22","","","","","较前30日","0.00%"
"face mask","face mask","Y","10,601.00","","","32,076.00","较前30日","-4.62%","18.21%","较前30日","-18.14%","13.02","较前30日","-0.49%","0.86%","较前30日","-21.16%","较前30日","32.31%","",""
"gourde","Water bottle","Y","10,755.00","较前30日","20.41%","32,068.00","较前30日","-28.57%","18.72%","较前30日","-17.85%","0.60%","较前30日","-4.05%","2.78","较前30日","-15.67%","","","",""
"flipper","flipper","Y","18,124.00","较前30日","7.28%","32,056.00","","","8.61%","较前30日","-26.25%","0.12%","较前30日","-19.61%","6.77","较前30日","-26.20%","","","较前30日","0.00%"
"conjuntos mujer","Women's sets","N","11,180.00","较前30日","0.00%","31,998.00","较前30日","0.00%","15.59%","较前30日","0.00%","0.01%","较前30日","0.00%","1.54","","","","","较前30日","0.00%"
"man shoes","man shoes","N","13,828.00","较前30日","2.07%","31,871.00","较前30日","7.04%","12.70%","","","2.72","较前30日","9.77%","0.20%","较前30日","11.36%","较前30日","122.22%","",""
"cadeira","Chair","N","10,644.00","较前30日","6.76%","31,329.00","较前30日","8.30%","14.58%","较前30日","-2.41%","2.42","较前30日","8.09%","","","","","","",""
"otamatone","otamatone","Y","9,561.00","较前30日","0.73%","31,306.00","较前30日","3.82%","29.86%","较前30日","-1.13%","0.59%","较前30日","13.74%","8.41","较前30日","-22.37%","","","",""
"capacetes de moto","motorcycle helmets","N","14.52%","","","0.05%","","","0.71","较前30日","-7.87%","31,163.00","","","14,389.00","较前30日","-14.99%","较前30日","34.65%","较前30日","0.00%"
"camisetas de hombre","Men's t-shirts","N","14,070.00","较前30日","21.77%","30,884.00","较前30日","23.75%","20.38%","较前30日","-0.19%","1.78","较前30日","17.46%","0.52%","","","较前30日","30.00%","",""
"эхолот для рыбалки","Fish finder","N","10,521.00","较前30日","16.67%","30,853.00","较前30日","-9.89%","39.47%","较前30日","-20.78%","0.07%","较前30日","-13.37%","9.11","较前30日","-25.70%","","","",""
"окуляри жіночі сонцезахісні","eyepieces women's sunglasses","N","11,444.00","较前30日","0.00%","30,764.00","较前30日","0.00%","18.34%","较前30日","0.00%","0.51%","较前30日","0.00%","2.07","","","","","较前30日","0.00%"
"opinel","opinel","Y","9,683.00","较前30日","9.20%","30,579.00","较前30日","16.90%","22.44%","较前30日","-29.59%","0.05%","较前30日","-28.57%","8.06","较前30日","-28.85%","","","",""
"bags","bags","Y","15,806.00","较前30日","3.63%","30,215.00","较前30日","23.04%","13.98%","较前30日","-6.73%","2.62","","","0.23%","较前30日","-8.93%","较前30日","76.92%","",""
"la mafia banco bike","la mafia bike seat","N","9,817.00","较前30日","1.83%","30,010.00","较前30日","11.82%","38.75%","较前30日","-7.19%","0.46%","较前30日","6.98%","4.70","较前30日","6.27%","","","",""
"cubo pro 7","cube pro 7","N","12,490.00","较前30日","23.80%","29,643.00","","","45.05%","较前30日","-11.45%","1.81","较前30日","-8.49%","0.28%","较前30日","-15.44%","较前30日","300.00%","",""
"сумка женская большая","Large women's bag","N","23,491.00","较前30日","25.26%","29,643.00","","","63.39%","较前30日","-16.47%","0.14","较前30日","-2.79%","0.19%","较前30日","-10.40%","较前30日","46.15%","",""
"casco para motos","Motorcycle helmet","N","11,789.00","较前30日","20.37%","29,620.00","较前30日","20.68%","16.38%","较前30日","-8.29%","0.10%","较前30日","-8.44%","1.72","较前30日","-16.67%","","","",""
"шорты","Shorts","N","22,087.00","较前30日","10.10%","29,473.00","较前30日","13.53%","42.75%","较前30日","-13.93%","0.21%","较前30日","16.67%","0.52","较前30日","25.54%","","","",""
"xeon","xeon","Y","22.39%","较前30日","0.45%","0.60","较前30日","14.57%","0.00%","","","","较前30日","-100.00%","","","","","","",""
"кроссовки женские","Women's sports shoes","N","18,613.00","较前30日","21.05%","29,357.00","较前30日","20.85%","55.46%","较前30日","-3.18%","0.62","","","0.18%","较前30日","-21.13%","较前30日","200.00%","",""
"óculos","Glasses","N","10,131.00","较前30日","0.00%","29,303.00","较前30日","0.00%","19.99%","较前30日","0.00%","0.44%","较前30日","0.00%","4.24","","","","","较前30日","0.00%"
"토크렌치","Torque wrench","N","10,624.00","较前30日","0.00%","29,295.00","较前30日","0.00%","23.01%","较前30日","0.00%","0.86%","较前30日","0.00%","1.16","","","","","较前30日","0.00%"
"elektro e bike","electric bike","N","9,546.00","较前30日","0.00%","29,191.00","较前30日","0.00%","25.22%","较前30日","0.00%","0.04%","较前30日","0.00%","11.57","","","","","较前30日","0.00%"
"반바지","Shorts","N","17.90%","较前30日","11.38%","0.42%","","","0.72","较前30日","-10.81%","28,897.00","","","14,059.00","较前30日","-19.23%","较前30日","46.28%","",""
"pantalones hombre","Man pants","N","18,782.00","较前30日","16.96%","28,850.00","较前30日","9.89%","22.50%","较前30日","-20.30%","0.82","较前30日","0.49%","0.34%","","","较前30日","100.00%","",""
"kawasaki","kawasaki","Y","11,451.00","较前30日","0.00%","28,592.00","较前30日","0.00%","16.51%","较前30日","0.00%","0.04%","较前30日","0.00%","3.29","","","","","较前30日","0.00%"
"xiaomi","xiaomi","Y","19,448.00","较前30日","24.62%","13.17%","较前30日","5.61%","","","","0.24%","","","28,429.00","","","较前30日","30.03%","",""
"lunette de soleil","Sunglasses","N","9,653.00","较前30日","0.00%","28,329.00","较前30日","0.00%","23.18%","较前30日","0.00%","1.23%","较前30日","0.00%","3.24","","","","","较前30日","0.00%"
"lube","lube","Y","12,697.00","较前30日","1.84%","28,217.00","较前30日","0.25%","28.12%","较前30日","-15.57%","1.79%","较前30日","5.83%","3.42","较前30日","-0.36%","","","",""
"lanterna","Flashlight","Y","11,294.00","较前30日","2.27%","28,089.00","较前30日","-18.41%","13.54%","较前30日","-17.04%","0.45%","较前30日","-6.62%","1.87","较前30日","-12.59%","","","",""
"mochila de cabina avión","airplane cabin backpack","N","13,268.00","较前30日","0.00%","27,823.00","较前30日","0.00%","32.53%","较前30日","0.00%","0.95%","较前30日","0.00%","1.07","","","","","较前30日","0.00%"
"owala bottle","owala bottle","N","14,204.00","较前30日","0.00%","27,417.00","较前30日","0.00%","32.04%","较前30日","0.00%","0.71%","较前30日","0.00%","0.68","","","","","较前30日","0.00%"
"bermudas masculina","Men's shorts","N","11,252.00","较前30日","0.00%","26,919.00","较前30日","0.00%","18.02%","较前30日","0.00%","0.21%","较前30日","0.00%","1.16","","","","","较前30日","0.00%"
"nyx","nyx","Y","16,044.00","较前30日","5.37%","26,795.00","较前30日","17.46%","8.95%","较前30日","-29.02%","0.00%","较前30日","23.22%","0.64","","","","","较前30日","0.00%"
"oneplus","oneplus","Y","13.48%","较前30日","8.80%","0.27","","","","较前30日","-10.64%","26,783.00","","","20,180.00","","","较前30日","71.96%","",""
"godet long femme","godet long femme","N","18,709.00","较前30日","18.25%","26,629.00","","","0.67","较前30日","-21.97%","","","","5.96%","较前30日","-26.19%","较前30日","56.84%","",""
"g26 glock toy","g26 glock toy","N","14,059.00","较前30日","0.00%","26,440.00","较前30日","0.00%","22.68%","较前30日","0.00%","0.52%","较前30日","0.00%","1.52","","","","","较前30日","0.00%"
"jaqueta","Jacket","N","10,548.00","较前30日","0.00%","26,420.00","较前30日","0.00%","19.63%","较前30日","0.00%","0.06%","较前30日","0.00%","1.35","","","","","较前30日","0.00%"
"gafas de sol","Sunglasses","N","9,917.00","较前30日","2.89%","26,250.00","较前30日","9.59%","19.22%","较前30日","-8.15%","0.80%","较前30日","-6.07%","2.66","较前30日","-9.41%","","","",""
"lights","lights","Y","9,641.00","较前30日","1.59%","26,177.00","较前30日","16.65%","10.65%","较前30日","-8.60%","0.20%","较前30日","11.68%","3.78","较前30日","-25.93%","","","",""
"헤드랜턴","Head Flashlight","N","10,311.00","较前30日","0.00%","26,050.00","较前30日","0.00%","15.72%","较前30日","0.00%","0.84%","较前30日","0.00%","1.46","","","","","较前30日","0.00%"
"maxxis hookworm 26","maxxis hookworm 26","N","9,615.00","较前30日","0.22%","25,575.00","较前30日","4.17%","54.64%","较前30日","-6.96%","0.25%","较前30日","1.07%","2.87","较前30日","-5.33%","","","",""
"igpsport bsc300","igpsport bsc300","N","9,592.00","较前30日","0.00%","25,312.00","较前30日","0.00%","43.09%","较前30日","0.00%","1.86%","较前30日","0.00%","7.22","","","","","较前30日","0.00%"
"лазер","Laser","N","9,557.00","较前30日","2.82%","25,196.00","较前30日","-10.52%","33.36%","较前30日","-12.07%","0.73%","较前30日","-3.14%","4.45","较前30日","-15.44%","","","",""
"airsofty gum ful metal","airsoft gum ful metal","N","11,616.00","较前30日","0.00%","25,142.00","较前30日","0.00%","17.21%","较前30日","0.00%","0.08%","较前30日","0.00%","2.52","","","","","较前30日","0.00%"
"conjuntos de mujer","Women sets","N","12,011.00","较前30日","0.00%","24,830.00","较前30日","0.00%","8.62%","较前30日","0.00%","0.05%","较前30日","0.00%","1.63","","","","","较前30日","0.00%"
"sac","Bag","Y","16,805.00","较前30日","5.74%","24,787.00","较前30日","-17.65%","14.85%","较前30日","-26.16%","0.14%","较前30日","-17.18%","0.68","较前30日","-26.17%","","","",""
"tênis","Sneakers","N","10,173.00","较前30日","10.91%","24,780.00","","","10.47%","较前30日","-8.38%","2.69","较前30日","-3.23%","","较前30日","-9.31%","","","",""
"lentes de sol mujer","Women sunglasses","N","19.13%","较前30日","6.87%","0.49%","","","2.46","较前30日","-3.92%","","","","","较前30日","-15.68%","","","",""
"tiki","tiki","Y","0.96%","较前30日","17.65%","0.00%","","","0.12","较前30日","-27.82%","","","","","","","","","较前30日","0.00%"
"bolsa","Bag","Y","17,028.00","较前30日","3.45%","24,548.00","较前30日","21.56%","15.83%","较前30日","-6.47%","0.41","","","0.12%","较前30日","-0.31%","较前30日","100.00%","",""
"lunette","lunette","Y","10,559.00","较前30日","9.26%","23,776.00","","","21.47%","较前30日","-1.23%","2.29","较前30日","-11.74%","1.04%","较前30日","-8.18%","较前30日","33.33%","",""
"резиновые сапоги женские","Rubber boots for women","N","13,989.00","较前30日","0.00%","23,271.00","较前30日","0.00%","58.70%","较前30日","0.00%","0.08%","较前30日","0.00%","0.49","","","","","较前30日","0.00%"
"quadro gios aro 26","frame gios rim 26","N","9,699.00","较前30日","1.53%","23,232.00","较前30日","10.02%","14.85%","较前30日","-6.43%","3.97","","","","较前30日","-1.61%","","","",""
"nextool","nextool","Y","11,773.00","较前30日","4.13%","23,117.00","较前30日","0.07%","26.70%","较前30日","-11.78%","0.46%","较前30日","12.20%","1.62","较前30日","-21.52%","","","",""
"안경","Glasses","N","9,584.00","较前30日","0.75%","23,028.00","较前30日","16.30%","16.17%","较前30日","-26.30%","0.45%","较前30日","-18.18%","2.17","较前30日","-23.56%","","","",""
"patagonia","patagonia","Y","23.37%","较前30日","23.65%","","","","0.10%","","","","较前30日","-58.33%","2.35","","","较前30日","41.12%","",""
"jackets","jackets","N","9,909.00","较前30日","0.00%","22,909.00","较前30日","0.00%","17.44%","较前30日","0.00%","0.12%","较前30日","0.00%","4.12","","","","","较前30日","0.00%"
"carhartt","carhartt","Y","17.02%","","","1.46","","","0.00%","较前30日","-22.14%","","较前30日","-100.00%","","较前30日","-14.75%","","","",""
"корсет","Corset","N","26.40%","较前30日","2.29%","0.75","较前30日","9.40%","","","","","","","0.25%","","","较前30日","56.25%","",""
"cascos","Helmets","N","10,448.00","较前30日","0.00%","22,180.00","较前30日","0.00%","17.52%","较前30日","0.00%","0.17%","较前30日","0.00%","4.07","","","","","较前30日","0.00%"
"солнцезащитные очки","Sunglasses","N","11,547.00","较前30日","0.00%","22,145.00","较前30日","0.00%","41.05%","较前30日","0.00%","0.74%","较前30日","0.00%","2.20","","","","","较前30日","0.00%"
"conjuntos deportivos mujer","Woman sports sets","N","9,767.00","较前30日","4.67%","21,933.00","较前30日","9.30%","23.32%","较前30日","-10.93%","0.47%","较前30日","11.44%","1.90","较前30日","-6.08%","","","",""
"кепка","Cap","N","14,346.00","较前30日","0.00%","21,891.00","较前30日","0.00%","39.27%","较前30日","0.00%","0.21%","较前30日","0.00%","0.79","","","","","较前30日","0.00%"
"roupas femininas baratas com frete grátis","Cheap women's clothing with free shipping","N","12,996.00","较前30日","0.00%","21,779.00","较前30日","0.00%","9.27%","较前30日","0.00%","0.07%","较前30日","0.00%","0.47","","","","","较前30日","0.00%"
"перчатки","Gloves","N","31.29%","较前30日","3.20%","0.63%","较前30日","23.53%","3.10","较前30日","-9.80%","","","","","","","","","",""
"gafas de sol mujer","Women sunglasses","N","10,047.00","较前30日","0.22%","21,471.00","","","18.44%","较前30日","-6.78%","1.53","较前30日","-17.60%","","较前30日","-17.94%","","","",""
"casaco","Coat","N","9,561.00","较前30日","0.00%","21,024.00","较前30日","0.00%","15.07%","较前30日","0.00%","0.04%","较前30日","0.00%","0.93","","","","","较前30日","0.00%"
"гетры","Long socks","N","11,834.00","较前30日","22.35%","20,896.00","","","38.17%","较前30日","-28.63%","1.06","较前30日","-8.55%","0.49%","较前30日","-26.70%","较前30日","40.00%","",""
"chaqueta","Jacket","N","9,546.00","","","20,804.00","较前30日","-3.17%","18.10%","较前30日","-14.14%","2.11","较前30日","-6.56%","","较前30日","-15.52%","","","",""
"ddk","ddk","Y","11,536.00","较前30日","4.15%","20,796.00","较前30日","1.58%","5.91%","较前30日","-0.28%","0.00%","较前30日","9.44%","2.86","","","","","较前30日","0.00%"
"flipper zero","flipper zero","N","16,232.00","较前30日","15.02%","20,785.00","较前30日","5.14%","19.22%","较前30日","-14.29%","0.18%","较前30日","6.42%","","","","","","",""
"beanie","beanie","N","13.10%","较前30日","4.47%","1.31","","","","较前30日","-7.94%","","","","0.68%","","","较前30日","54.55%","",""
"cadena","Chain","Y","13,821.00","较前30日","29.53%","13.36%","较前30日","10.78%","1.74","","","","较前30日","22.49%","20,326.00","","","较前30日","39.55%","",""
"очки солнечные женские","Women's sunglasses","N","52.00%","","","","","","","较前30日","-10.78%","0.45","","","0.82%","","","较前30日","74.47%","",""
"pistolas de gas tiro de plomo","gas guns lead shot","N","9,706.00","","","19,729.00","较前30日","-3.81%","20.03%","较前30日","-10.30%","1.61","较前30日","-5.25%","0.14%","较前30日","-13.75%","较前30日","180.00%","",""
"mangas","sleeves","N","9,622.00","较前30日","2.60%","19,645.00","较前30日","4.25%","19.67%","较前30日","-5.78%","5.50","较前30日","13.18%","0.66%","","","较前30日","34.69%","",""
"bolsas feminina","Women's bags","Y","11,781.00","较前30日","0.00%","19,475.00","较前30日","0.00%","12.22%","较前30日","0.00%","0.06%","较前30日","0.00%","0.77","","","","","较前30日","0.00%"
"y2k","y2k","Y","16,167.00","较前30日","0.00%","19,340.00","较前30日","0.00%","44.70%","较前30日","0.00%","0.22%","较前30日","0.00%","0.14","","","","","较前30日","0.00%"
"roupa de academia femininas","women's gym clothing","N","9,611.00","较前30日","20.99%","19,240.00","","","15.26%","较前30日","-17.97%","0.69","较前30日","-3.54%","0.28%","较前30日","-19.95%","较前30日","33.33%","",""
"ветровка женская","Women's windbreaker","N","9,985.00","较前30日","0.00%","19,186.00","较前30日","0.00%","56.04%","较前30日","0.00%","0.08%","较前30日","0.00%","1.44","","","","","较前30日","0.00%"
"러그","Rug","N","9,565.00","较前30日","11.32%","18,994.00","","","11.04%","较前30日","-27.55%","0.14%","较前30日","-4.08%","1.73","较前30日","-24.96%","","","较前30日","0.00%"
"keyboard","keyboard","Y","13,498.00","较前30日","18.42%","18,594.00","较前30日","11.90%","17.34%","较前30日","-12.02%","","","","0.49%","","","较前30日","81.48%","",""
"calça masculina","Men's pants","N","9,660.00","较前30日","0.00%","18,401.00","较前30日","0.00%","21.35%","较前30日","0.00%","0.21%","较前30日","0.00%","1.05","","","","","较前30日","0.00%"
"alfombra","Rug","N","10,647.00","较前30日","2.64%","18,244.00","较前30日","26.28%","18.68%","较前30日","-18.48%","0.98","","","","较前30日","-20.46%","","","",""
